Batch mtDNA	Sequence Released Date	No. of Samples	Analysis Code	Batch mtDNA-Analysis Code	Analyst(s)	Batch Receive Time	No. of Samples Analysed by Sequencher	Sequencher Analysis Transfer Time	1st Review	Review Finish	2nd Review	No. of Samples Passed by Sequencher Analysis (1st run)	No. of Samples Passed by Sequencher Analysis (rerun)	No. of Samples Passed by Sequencher Analysis Transfered to Next Stage	Sequencher Analysis Results from Lab to Sciences Date	Sequencher Analysis (Batches)	Analyst(s).1	Sequencher vs Pipeline Comparison	Regenerated Reports by the Science Team	Regenerated Reports Realeased Date	Numbers of Reports Released	Reports Check by Nam	Final Reports	Note1	Done	Run1 Analysis Results Released Date	Rerun Analysis Results Released Date	Note1.1	Note 2	Note 2.1	Unnamed: 31
mtDNA_20	2025-03-19	91			-	-	91.0	-	-	-	-	91.0	-	91.0	250321	Done	N (Ms)		Released	250321	91	Done	91.0		DONE			Tiền Giang			
mtDNA_21	2025-03-29	92			-	-	92.0	-	-	-	-	88.0	4	88.0	250401		N (Ms)		Released	250402	88	Done	88.0	4 mẫu lab chạy lại từ PCR	DONE	2025-07-10		Nghệ An - Hà Tĩnh			
mtDNA_22	2025-04-02	92			-	-	92.0	-	-	-	-	86.0	4	86.0	250404		N (Ms)		Released	250404	86	Done	86.0	4 mẫu lab chạy lại PCR-bigdye 3F, 2 mẫu chạy lại từ tách chiết	DONE	2025-07-10		Nghệ An - Hà Tĩnh (2 mẫu đã chạy xác minh, trả ở batch 28)			
mtDNA_23	2025-04-04	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250408	Done	N (Ms)		Released	250408	92	Done	92.0		DONE			Nghệ An - Hà Tĩnh			
mtDNA_24	2025-04-08	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250410	Done	N (Ms)		Released	250410	92	Done	92.0		DONE			Nghệ An - Hà Tĩnh			
mtDNA_25	2025-04-09	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250411	Done	N (Ms)		Released	250416	92	Done	92.0		DONE			Nghệ An - Hà Tĩnh			
mtDNA_26	2025-04-11	92			-	-	92.0	-	-	-	-	91.0	1	91.0	250418		N (Ms)		Released	250421	91	Done	91.0	253034: yc chạy BS HV3F	DONE	2025-07-10		Nghệ An - Hà Tĩnh			
mtDNA_27	2025-04-10	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250416	Done	N (Ms)		Released	250421	92	Done	92.0		DONE			Nghệ An - Hà Tĩnh			
mtDNA_28	2025-04-16	92			-	-	92.0	-	-	-	-	84.0	8	84.0	250425		T, Q, N (Ms)		Released	250428	84	Done	84.0	2 mẫu 252251, 252278 (mt22, nhóm mẫu Nghệ An - Hà Tĩnh) đã được chạy lại từ tách chiết và xác nhận đúng KQ. 8 mẫu yc chạy BS	DONE	2025-06-20		Hà Nam + 2 Nghệ An - Hà Tĩnh			
mtDNA_29	2025-04-17	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250421	Done	N (Ms)		Released	250421	92	Done	92.0	lưu ý 253888 có del ở 16166. 4 mẫu yc chạy BS	DONE			Hà Nam (1 mẫu thuộc ca Đức Cơ)			
mtDNA_30	2025-02-17	92			-	-	92.0	-	-	-	-	88.0	4	88.0	250424		T, N (Ms)		Released	250428	88	Done	88.0	4 mẫu chạy BS	DONE	2025-06-20		Hà Nam (1 mẫu thuộc ca Đức Cơ)			
mtDNA_31	2025-04-21	92			-	-	92.0	-	-	-	-	89.0	3	89.0	250428		N (Ms)		Released	250428	89	Done	89.0	3 mẫu chạy BS	DONE	2025-06-20		Hà Nam			
mtDNA_32	2025-04-23	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250428	Done	T, N (Ms)		Released	250428	92	Done	92.0		DONE			Hà Nam			
mtDNA_33	2025-04-24	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250505	Done	Q, N (Ms)		Released	250505	92	Done	92.0		DONE			Hà Nam			
mtDNA_34	2025-04-26	92			-	-	92.0	-	-	-	-	90.0	2	90.0	250429		T, N (Ms)		Released	250429	90	Done	90.0	2 mẫu chạy BS	DONE	2025-06-20		Hà Nam			
mtDNA_35	2025-04-26	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250505	Done	T, N (Ms)		Released	250506	92	Done	92.0		DONE			Hà Nam			
mtDNA_36	2025-04-27	92			-	-	92.0	-	-	-	-	89.0	3	89.0	250505		T, N (Ms)		Released	250505	89	Done	89.0	3 mẫu chạy BS	DONE	2025-06-20		Hà Nam			
mtDNA_37	2025-04-28	90			-	-	90.0	-	-	-	-	87.0	3	87.0	250505		N (Ms)		Released	250506	87	Done	87.0		DONE	2025-06-20		Hà Nam			
mtDNA_38	2025-04-29	92			-	-	92.0	-	-	-	-	91.0	1	91.0	250505		T, N (Ms)		Released	250506	91	Done	91.0	1 mẫu chạy BS	DONE	2025-06-20		Hà Nam			
mtDNA_40	2025-05-06	91			-	-	91.0	-	-	-	-	89.0	1	89.0	250507				Released	250508	89	Done	89.0	1 mẫu tách lại, 1 mẫu chạy BS	DONE	2025-06-20		Hà Nam (lặp 1 mẫu chạy lại từ bước tách, trả KQ ở batch mt52)			
mtDNA_39	2025-05-08	92			-	-	92.0	-	-	-	-	91.0	0	91.0	250509				Released	250509	91	Done	91.0	1 mẫu tách lại	DONE			Hà Nam (lặp 1 mẫu chạy lại từ bước tách, trả KQ ở batch mt52)			
mtDNA_41	2025-05-08	92			-	-	92.0	-	-	-	-	88.0	4	88.0	250509				Released	250512	88	Done	88.0	4 mẫu chạy lại	DONE	2025-06-20		Hà Nam			
mtDNA_42	2025-05-09	92			-	-	92.0	-	-	-	-	91.0	1	91.0	250512				Released	250513	91	Done	91.0		DONE	2025-06-20		Hà Nam			
mtDNA_43	2025-05-10	92			-	-	92.0	-	-	-	-	90.0	2	90.0	250518					2025-05-19 00:00:00	90				DONE			Hà Nam			
mtDNA_44	2025-05-11	92			-	-	92.0	-	-	-	-	89.0	3	89.0	250513				Released	250516	89				DONE	2025-06-20		Hà Nam			
mtDNA_45	2025-05-12	92			-	-	92.0	-	-	-	-	86.0	6	86.0	250515				Released	250516	86				DONE	2025-06-20		Hà Nam			
mtDNA_46	2025-05-13	92			-	-	92.0	-	-	-	-	89.0	3	89.0	250515				Released	250516	89				DONE	2025-05-15	2025-07-06	Hà Nam			
mtDNA_47	2025-05-14	92			-	-	92.0	-	-	-	-	84.0	8	84.0	250517					2025-05-19 00:00:00	84				DONE			Hà Nam			
mtDNA_48	2025-05-16	92			-	-	92.0	-	-	-	-	86.0	6	86.0	250518					2025-05-19 00:00:00	86				DONE			Hà Nam			
mtDNA_49	2025-05-19	92			-	-	92.0	-	-	-	-	90.0	2	90.0	2025-05-20 00:00:00										DONE			Hà Nam			
mtDNA_50	2025-05-19	92			-	-	92.0	-	-	-	-	92.0	-	92.0	2025-05-20 00:00:00										DONE	2025-05-20		Hà Nam			
mtDNA_51	2025-05-19	92			-	-	92.0	-	-	-	-	90.0	2	90.0	2025-05-22 00:00:00										DONE	2025-05-22	2025-07-10	Hà Nam			
mtDNA_52	2025-05-19	92			-	-	92.0	-	-	-	-	91.0	1	91.0	2025-05-21 00:00:00										DONE		2025-07-09	Hà Nam (1 mẫu thuộc ca Đức Cơ)			
mtDNA_54	2025-05-20	92			-	-	92.0	-	-	-	-	92.0	-	92.0	2025-05-22 00:00:00										DONE	2025-05-22		Hà Nam			
mtDNA_53	2025-05-21	92			-	-	92.0	-	-	-	-	92.0	-	92.0	2025-05-23 00:00:00										DONE	2025-05-23		Hà Nam			
mtDNA_55	2025-05-21	92			-	-	92.0	-	-	-	-	91.0	1	91.0	2025-05-23 00:00:00										DONE	2025-05-23	2025-07-06	Hà Nam			
mtDNA_56	2025-05-22	92			-	-	92.0	-	-	-	-	92.0	-	92.0	2025-05-26 00:00:00										DONE	2025-05-22		Hà Nam			
mtDNA_57	2025-05-22	92			-	-	92.0	-	-	-	-	91.0	1	91.0	2025-05-26 00:00:00										DONE	2025-05-26	2025-07-06	Hà Nam			
mtDNA_58	2025-05-23	92			-	-	92.0	-	-	-	-	91.0	1	91.0	2025-05-26 00:00:00										DONE	2025-05-26	2025-07-06	Hà Nam			
mtDNA_59	2025-05-23	92			-	-	92.0	-	-	-	-	92.0	-	92.0	2025-05-27 00:00:00										DONE	2025-05-27		Hà Nam			
mtDNA_60	2025-05-24	92			-	-	92.0	-	-	-	-	92.0	-	92.0	2025-05-28 00:00:00										DONE	2025-05-28		Hà Nam			
mtDNA_61	2025-05-24	90			-	-	90.0	-	-	-	-	88.0	2	88.0	2025-05-27 00:00:00										DONE	2025-05-27	2025-07-06	Hà Nam (1 mẫu thuộc ca Đức Cơ)			
mtDNA_62	2025-05-25	90			-	-	90.0	-	-	-	-	89.0	1	89.0	2025-05-29 00:00:00										DONE	2025-05-29	2025-07-09	Hà Nam			
mtDNA_63	2025-05-27	90			-	-	90.0	-	-	-	-	90.0	-	90.0	2025-05-30 00:00:00										DONE	2025-05-30		Hà Nam			
mtDNA_64	2025-05-27	90			-	-	90.0	-	-	-	-	89.0	1	89.0	2025-05-30 00:00:00										DONE	2025-05-30	2025-07-06	Hà Nam			
mtDNA_65	2025-05-27	90			-	-	90.0	-	-	-	-	90.0	-	90.0	2025-06-02 00:00:00										DONE	2025-06-02		Hà Nam			
mtDNA_66	2025-05-28	92			-	-	92.0	-	-	-	-	91.0	1	91.0	2025-05-29 00:00:00										DONE	2025-05-29	2025-07-06	Hà Nam + 13 Đức Cơ			
mtDNA_67	2025-05-29	92			-	-	92.0	-	-	-	-	91.0	1	91.0	2025-06-03 00:00:00										DONE	2025-06-03	2025-07-06	Hà Nam			
mtDNA_68	2025-05-29	92			-	-	92.0	-	-	-	-	92.0	-	92.0	2025-06-03 00:00:00										DONE	2025-06-03		Hà Nam + 2 Đức Cơ			
mtDNA_69	2025-05-30	92			-	-	92.0	-	-	-	-	87.0	5	87.0	2025-06-04 00:00:00										DONE	2025-06-04	2025-07-06	Hà Nam			
mtDNA_70	2025-06-02	92			-	-	92.0	-	-	-	-	92.0	-	92.0	2025-06-05 00:00:00	2025-06-06 00:00:00	2025-06-07 00:00:00	2025-06-08	2025-06-09 00:00:00	2025-06-10 00:00:00	2025-06-11 00:00:00	2025-06-12 00:00:00			DONE	2025-06-05		Hà Nam			
mtDNA_71	2025-06-02	92			-	-	92.0	-	-	-	-	91.0	1	91.0	2025-06-09 00:00:00										DONE	2025-06-09	2025-07-06	Hà Nam			
mtDNA_72	2025-06-02	92			-	-	92.0	-	-	-	-	91.0	1	91.0	2025-06-06 00:00:00	2025-06-06 00:00:00	2025-06-07 00:00:00	2025-06-08	2025-06-09 00:00:00	2025-06-10 00:00:00	2025-06-11 00:00:00	2025-06-12 00:00:00			DONE	2025-06-06	2025-07-06	Hà Nam			
mtDNA_73	2025-06-04	92			-	-	92.0	-	-	-	-	90.0	2	90.0	2025-06-09 00:00:00										DONE	2025-06-09	2025-07-06	Hà Nam			
mtDNA_74	2025-06-04	92			-	-	92.0	-	-	-	-	92.0	-	92.0	2025-06-05 00:00:00										DONE	2025-06-05		Hà Nam + 2 Đức Cơ			
mtDNA_75	2025-06-05	92			-	-	92.0	-	-	-	-	90.0	2	90.0	2025-06-10 00:00:00										DONE	2025-06-10	2025-07-07	Hà Nam			
mtDNA_76	2025-06-06	92			HQ	-	92.0	-	-	-	-	90.0	1	90.0	2025-06-10 00:00:00										Done	2025-06-10	2025-07-06	Hà Nam (1 mẫu tách lại ở mt153, trả KQ tương ứng mt153)			
mtDNA_77	2025-06-06	92			P	-	92.0	-	-	-	-	91.0	1	91.0	2025-06-09 00:00:00										DONE	2025-06-09	2025-07-07	Hà Nam			
mtDNA_78	2025-06-06	92			T	-	92.0	-	-	-	-	86.0	6	86.0	2025-06-09 00:00:00										DONE	2025-06-09	2025-06-26	Hà Nam + 71 Đức Cơ (trong đó 1 Hà Nam)			
mtDNA_79	2025-06-08	90			H	-	90.0	-	-	-	-	89.0	1	89.0											DONE	2025-06-17	2025-07-06	Hà Nam			
mtDNA_80	2025-06-08	90			P	-	90.0	-	-	-	-	88.0	2	88.0											DONE	2025-06-11	2025-07-06	Hà Nam			
mtDNA_81	2025-06-08	90			P	-	90.0	-	-	-	-	86.0	4	86.0											DONE	2025-06-12	2025-07-06	Hà Nam			
mtDNA_82	2025-06-09	90			Q	-	90.0	-	-	-	-	88.0	2	88.0											DONE	2025-06-12	2025-07-06	Hà Nam			
mtDNA_83	2025-06-09	92			Q	-	92.0	-	-	-	-	87.0	5	87.0											DONE	2025-06-16	2025-07-06	Hà Nam +  8 Đức Cơ			
mtDNA_88	2025-06-10	90			P	-	90.0	-	-	-	-	86.0	4	86.0											DONE	2025-06-11	2025-07-06	Hà Nam + 29 Đức Cơ			
mtDNA_84	2025-06-10	90			H	-	90.0	-	-	-	-	86.0	4	86.0											DONE	2025-06-13	2025-07-06	Hà Nam			
mtDNA_85	2025-06-10	90			P	-	90.0	-	-	-	-	85.0	5	85.0											DONE	2025-06-15	2025-07-06	Hà Nam			
mtDNA_86	2025-06-12	90			Q	-	90.0	-	-	-	-	87.0	3	87.0											DONE	2025-06-15	2025-07-06	Hà Nam			
mtDNA_87	2025-06-12	90			H	-	90.0	-	-	-	-	82.0	8	82.0											DONE	2025-06-15	2025-07-06	Hà Nam			
mtDNA_89	2025-06-13	90			P	-	90.0	-	-	-	-	84.0	6	84.0											DONE	2025-06-15	2025-07-14	Hà Nam			
mtDNA_90	2025-06-13	90			H	-	90.0	-	-	-	-	87.0	3	87.0											DONE	2025-06-16	2025-07-06	Hà Nam			
mtDNA_91	2025-06-13	90			P	-	90.0	-	-	-	-	88.0	2	88.0											DONE	2025-06-18	2025-07-06	Hà Nam			
mtDNA_92	2025-06-14	91			Q	-	91.0	-	-	-	-	88.0	3	88.0											DONE	2025-06-18	2025-07-09	Hà Nam + 1 Đức Cơ			
mtDNA_93	2025-06-16	90			P	-	90.0	-	-	-	-	90.0	-	90.0											DONE	2025-06-18		Hà Nam			
mtDNA_94	2025-06-16	92			H	-	92.0	-	-	-	-	91.0	1	91.0	 	 	 								DONE	2025-06-17	2025-07-06	Hà Nam			
mtDNA_95	2025-06-17	92			QR	-	92.0	-	-	-	-	91.0	1		 	 	 								DONE	2025-06-19	2025-07-06	Hà Nam			
mtDNA_96	2025-06-17	90			HT	-	90.0	-	-	-	-	87.0	3		 	 	 								DONE	2025-06-20	2025-07-06	Hà Nam			
mtDNA_97	2025-06-17	90			P	-	90.0	-	-	-	-	87.0	3		 	 	 								DONE	2025-06-20	2025-07-07	Hà Nam			
mtDNA_98	2025-06-17	90			H	-	90.0	-	-	-	-	86.0	4		 	 	 								DONE	2025-06-19	2025-07-06	Hà Nam + 15 Đức Cơ			
mtDNA_102	2025-06-18	92			H	-	92.0	-	-	-	-	89.0	3		 	 	 								DONE	2025-06-22	2025-07-06	Hà Nam + 2 Đức Cơ 			
mtDNA_99	2025-06-19	90			P	-	90.0	-	-	-	-	86.0	4												DONE	2025-06-22	2025-07-06	Hà Nam			
mtDNA_100	2025-06-19	90			H	-	90.0	-	-	-	-	88.0	2												DONE	2025-06-22	2025-07-06	Hà Nam			
mtDNA_101	2025-06-20	90			H	-	90.0	-	-	-	-	86.0	4												DONE	2025-06-22	2025-07-06	Hà Nam			
mtDNA_103	2025-06-20	91			H	-	91.0	-	-	-	-	91.0	-												DONE	2025-06-22		Hà Nam (1 mẫu lặp lại từ bước tách)			
mtDNA_104	2025-06-20	90			H	-	90.0	-	-	-	-	90.0	-												DONE	2025-06-23		Hà Nam			
mtDNA_105	2025-06-22	90			HT	-	90.0	-	-	-	-	88.0	2												DONE	2025-06-22		Hà Nam			
mtDNA_106	2025-06-22	90			PQR	-	90.0	-	-	-	-	90.0	-												DONE	2025-06-24		Hà Nam			
mtDNA_108	2025-06-22	92			H	-	92.0	-	-	-	-	92.0	-												DONE	2025-06-25		Hà Nam + 2 Đức Cơ 			
mtDNA_107	2025-06-22	90			P	-	90.0	-	-	-	-	89.0	1												DONE	2025-06-24	2025-07-09	Hà Nam			
mtDNA_109	2025-06-23	90			R	-	90.0	-	-	-	-	85.0	5												DONE	2025-06-26	2025-07-09	Hà Nam			
mtDNA_110	2025-06-23	90			P	-	90.0	-	-	-	-	89.0	1												DONE	2025-06-25	2025-07-09	Hà Nam			
mtDNA_111	2025-06-24	90			H	-	90.0	-	-	-	-	89.0	1												DONE	2025-06-26	2025-07-09	Hà Nam			
mtDNA_112	2025-06-25	90			HR	-	90.0	-	-	-	-	88.0	2												DONE	2025-06-27	2025-07-14	Hà Nam			
mtDNA_113	2025-06-26	83			PR	-	83.0	-	-	-	-	81.0	2												DONE	2025-06-27	2025-07-10	Hà Nam + 4 Lâm Đồng			
mtDNA_114	2025-06-26	90			R	-	90.0	-	-	-	-	89.0	1												DONE	2025-06-30	2025-07-09	Hà Nam			
mtDNA_115	2025-06-27	90			H	-	90.0	-	-	-	-	90.0	-												DONE	2025-06-30		Hà Nam			
mtDNA_116	2025-06-27	90			P	-	90.0	-	-	-	-	88.0	2												DONE	2025-06-30	2025-07-16	Hà Nam (1 mẫu hold theo yêu cầu của lab)			
mtDNA_117	2025-06-28	90			QR	-	90.0	-	-	-	-	88.0	2												DONE	2025-07-01	2025-07-09	Hà Nam			
mtDNA_118	2025-06-28	90			H	-	90.0	-	-	-	-	89.0	1												DONE	2025-07-01	2025-07-09	Hà Nam			
mtDNA_119	2025-06-29	90			P	-	90.0	-	-	-	-	89.0	1												DONE	2025-06-30	2025-07-09	Hà Nam			
mtDNA_120	2025-06-29	90			HT	-	90.0	-	-	-	-	88.0	2												DONE	2025-07-01	2025-07-09	Hà Nam			
mtDNA_125	2025-06-30	90			QR	-	90.0	-	-	-	-	90.0	-												DONE	2025-07-03		Hà Nam			
mtDNA_126	2025-06-30	90			P	-	90.0	-	-	-	-	86.0	4												DONE	2025-07-02	2025-07-09	Hà Nam			
mtDNA_121	2025-06-30	90			H	-	90.0	-	-	-	-	89.0	1												DONE	2025-07-03	2025-07-09	Hà Nam + 39 Thái Bình			
mtDNA_123	2025-07-03	90			H	-	90.0	-	-	-	-	89.0	1												DONE	2025-07-06	2025-08-11	Thái Bình			
mtDNA_124	2025-07-03	90			R	-	90.0	-	-	-	-	82.0	8												DONE	2025-07-06	2025-08-11	Thái Bình + 16 Quảng Trị + 30 Quảng Bình			
mtDNA_127	2025-07-03	90			Q	-	90.0	-	-	-	-	87.0	3												DONE	2025-07-10	2026-01-28	Thái Bình			
mtDNA_122	2025-07-03	90			HT	-	90.0	-	-	-	-	85.0	5												DONE	2025-07-06	2025-08-11	Thái Bình			
mtDNA_128	2025-07-04	90			R	-	90.0	-	-	-	-	87.0	3												DONE	2025-07-10	2025-08-11	Thái Bình			
mtDNA_129	2025-07-04	90			PT	-	90.0	-	-	-	-	88.0	2												DONE	2025-07-06	2025-08-11	Thái Bình			
mtDNA_130	2025-07-05	90			P	-	90.0	-	-	-	-	88.0	2												DONE	2025-07-07	2025-08-11	Thái Bình			
mtDNA_131	2025-07-05	90			T	-	90.0	-	-	-	-	89.0	1												DONE	2025-07-08	2025-08-11	Thái Bình			
mtDNA_132	2025-07-05	90			H	-	90.0	-	-	-	-	84.0	6												DONE	2025-07-08	2025-09-26	Thái Bình + 18 Quảng Nam			
mtDNA_133	2025-07-10	90			HQ	-	90.0	-	-	-	-	88.0	2												DONE	2025-07-14	2025-09-26	Thái Bình 			
mtDNA_134	2025-07-10	90			HP	-	90.0	-	-	-	-	85.0	5												DONE	2025-07-14	2025-08-11	Thái Bình + 8 Quảng Ngãi + 1 Hà Nam + 46 Bình Định			
mtDNA_135	2025-07-11	90			HTQ	-	90.0	-	-	-	-	90.0	-												DONE	2025-07-14		Thái Bình + 4 Bắc Giang + 15 Quảng Nam + 3 Quảng Ninh + 12 Huế			
mtDNA_136	2025-07-11	90			T	-	90.0	-	-	-	-	89.0	1												DONE	2025-07-14	2025-08-11	Thái Bình + 13 Bắc Giang			
mtDNA_137	2025-07-12	90			H	-	90.0	-	-	-	-	87.0	3												DONE	2025-07-14	2025-09-26	Thái Bình + 30 Bắc Giang			
mtDNA_138	2025-07-13	90			H	-	90.0	-	-	-	-	86.0	4												DONE	2025-07-15	2026-01-28	45 Quảng Ngãi + 34 Thái Bình + 11 Nam ĐỊnh			
mtDNA_139	2025-07-14	90			Q	-	90.0	-	-	-	-	90.0	-												DONE	2025-07-16		Thái Bình + 6 Nam Định			
mtDNA_140	2025-07-14	90			H	-	90.0	-	-	-	-	89.0	1												DONE	2025-07-16	2025-09-26	Thái Bình + 7 Nam Định + 16 Phú Yên			
mtDNA_141	2025-07-14	90			PT	-	90.0	-	-	-	-	90.0	-												DONE	2025-07-15		Thái Bình + 10 Khánh Hòa + 3 Nam Định			
mtDNA_142	2025-07-15	90			H	-	90.0	-	-	-	-	87.0													 	2025-07-16		Thái Bình + 20 Khánh Hòa			
mtDNA_143	2025-07-16	90			T	-	90.0	-	-	-	-	88.0													 	2025-07-17		Thái Bình + 24 Nam Định			
mtDNA_144	2025-07-16	90			Q	-	90.0	-	-	-	-	86.0	4												DONE	2025-07-18	2025-09-26	Thái Bình + 71 Nam Định			
mtDNA_145	2025-07-17	90			T	-	90.0	-	-	-	-	89.0	1												DONE	2025-07-18	2025-08-11	Thái Bình + 3 Khánh Hòa + 5 Ninh Thuận + 3 Nam ĐỊnh			
mtDNA_146	2025-07-17	90			HP	-	90.0	-	-	-	-	87.0	3												DONE	2025-07-17	2025-08-11	Thái Bình + 47 Vĩnh Phúc + 20 Thái Nguyên + 3 Ninh Thuận			
mtDNA_147	2025-07-18	90			T	-	90.0	-	-	-	-	86.0	2												 	2025-07-21	2025-08-11	Thái Bình + 33 Vĩnh Phúc + 14 Hòa Bình + 9 Sơn La + 10 Thái Nguyên			
mtDNA_163	2025-07-18	90			HP	-	90.0	-	-	-	-	87.0													 	2025-07-18		Thái Binh + 8 Bắc Ninh + 11 Quảng Bình + 13 Thanh Hóa + 4 Đức Cơ			
mtDNA_163_L2	2025-07-18	5			H	-	5.0	-	-	-	-	5.0	-												DONE	2025-07-18		Thanh Hóa			
mtDNA_148	2025-07-19	90			H	-	90.0	-	-	-	-	88.0	2												DONE	2025-07-21	2025-09-26	Bình Thuận + Thái Bình + Thái Nguyên + Tuyên Quang + Bắc Kạn			
mtDNA_149	2025-07-19	90			T	-	90.0	-	-	-	-	87.0	3												DONE	2025-07-21	2026-01-28	Thái Bình + 26 Phú Thọ + Tuyên Quang  + Thái Nguyên + Tuyên Quang + Bắc Kạn			
mtDNA_150	2025-07-19	90			HT	-	90.0	-	-	-	-	88.0	2												DONE	2025-07-21	2025-08-11	Thái Bình + 20 Cao Bằng + 40 Phú Thọ + 6 Điện Biên			
mtDNA_151	2025-07-21	90			H	-	90.0	-	-	-	-	86.0	4												DONE	2025-07-22	2025-09-26	Thái Bình + Tuyên Quang + Lâm Đồng  + Thái Nguyên			
mtDNA_164	2025-07-21	90			HT	-	90.0	-	-	-	-	87.0	3												DONE	2025-07-21	2025-08-11	Thanh Hóa + Yên Bái + Thái Bình + 2 Đức Cơ			
mtDNA_165	2025-07-21	90			PT	-	90.0	-	-	-	-	86.0	4												DONE	2025-07-22	2025-09-26	Thanh Hóa + Yên Bái + Hà Giang + 1 Đức Cơ			
mtDNA_172	2025-07-22	89			TQ	-	89.0	-	-	-	-	85.0	4												DONE	2025-07-22	2025-08-11	Thanh Hóa + Thái Bình + 30 mẫu ưu tiên			
mtDNA_152	2025-07-22	90			HQ	-	90.0	-	-	-	-	88.0	2												DONE	2025-07-23	2025-08-20	Lâm Đồng + Thái Bình + Tuyên Quang + Bắc Kạn + Thái Nguyên			
mtDNA_153	2025-07-23	90			HTQ	-	90.0	-	-	-	-	87.0	3												DONE	2025-07-24	2025-08-20	Cao Bằng + ĐẮK NÔNG + Thái Bình + Điện Biên + Phú Thọ			
mtDNA_154	2025-07-23	90			PT	-	90.0	-	-	-	-	89.0	1												DONE	2025-07-24	2025-08-20	Phú Thọ + Lạng Sơn + Thái Bình			
mtDNA_155	2025-07-24	90			HTP	-	90.0	-	-	-	-	88.0													 	2025-07-25		Phú Thọ + Lạng Sơn + Thái Bình			
mtDNA_156	2025-07-25	90			HP	-	90.0	-	-	-	-	85.0													 	2025-07-25		Phú Thọ + Lạng Sơn + Thái Bình + Đắc Lắk + Thanh Hóa			
mtDNA_157	2025-07-25	90			HP	-	90.0	-	-	-	-	87.0	3												DONE	2025-07-27	2026-01-15	Thái Bình + Phú Thọ + Gia Lai + Lai Châu			
mtDNA_158	2025-07-26	90			HP	-	90.0	-	-	-	-	88.0	2												DONE	2025-07-27	2025-08-20	Phú Thọ + Yên Bái + Gia Lai + lạng Sơn + Kontum			
mtDNA_159	2025-07-26	89			HP	-	89.0	-	-	-	-	88.0	1												DONE	2025-07-27	2025-08-20	Phú Thọ + Thanh Hóa			
mtDNA_174	2025-07-27	91			TQ	-	91.0	-	-	-	-	86.0	5												DONE	2025-07-28	2025-09-26	Bắc Ninh + Thanh Hóa + Lào Cai			
mtDNA_160	2025-07-27	90			H	-	90.0	-	-	-	-	86.0	4												DONE	2025-07-28	2025-08-20	Phú Thọ + Thanh Hóa			
mtDNA_161	2025-07-28	90			HTQ	-	90.0	-	-	-	-	88.0	2												DONE	2025-07-29	2025-09-26	Phú Thọ + Thanh Hóa			
mtDNA_162	2025-07-29	90			P	-	90.0	-	-	-	-	89.0	1												DONE	2025-07-30	2025-09-26	Phú Thọ + Thanh Hóa			
mtDNA_166	2025-07-29	90			HT	-	90.0	-	-	-	-	86.0	4												DONE	2025-07-30	2025-09-26	Thanh Hóa			
mtDNA_167	2025-07-30	90			HQ	-	90.0	-	-	-	-	89.0	1												DONE	2025-07-31	2025-09-26	Thanh Hóa + Yên Bái			
mtDNA_168	2025-07-30	90			HQ	-	90.0	-	-	-	-	89.0	1												DONE	2025-07-31	2025-08-20	Thanh Hóa + Vĩnh Phúc			
mtDNA_169	2025-07-31	90			P	-	90.0	-	-	-	-	88.0	2												DONE	2025-08-01	2025-09-26	Thanh Hóa			
mtDNA_177	2025-07-31	90			T	-	90.0	-	-	-	-	86.0	4												DONE	2025-08-01	2025-09-26	Thanh Hóa			
mtDNA_170	2025-07-31	90			HT	-	90.0	-	-	-	-	79.0	11												DONE	2025-08-04	2025-09-26	Thanh Hóa + Yên Bái			
mtDNA_190	2025-08-01	90			HT	-	90.0	-	-	-	-	89.0	1												DONE	2025-08-01	2025-08-20	Thanh Hóa + 8 mẫu ưu tiên			
mtDNA_171	2025-08-02	90			T	-	90.0	-	-	-	-	83.0	7												DONE	2025-08-05	2025-09-26	Thanh Hóa + Yên Bái			
mtDNA_173	2025-08-03	91			P	-	91.0	-	-	-	-	89.0	2												DONE	2025-08-05	2025-09-26				
mtDNA_175	2025-08-03	90			HQ	-	90.0	-	-	-	-	89.0	1												DONE	2025-08-04	2025-08-20				
mtDNA_176	2025-08-03	90			HQ	-	90.0	-	-	-	-	89.0	1												DONE	2025-08-05	2025-09-26	Thanh Hóa			
mtDNA_179	2025-08-01	90			PT	-	90.0	-	-	-	-	85.0	5												DONE	2025-08-04	2025-09-26	Thanh Hóa			
mtDNA_178	2025-08-04	90			T	-	90.0	-	-	-	-	89.0	1												DONE	2025-08-06	2025-10-20	Thanh Hóa			
mtDNA_180	2025-08-05	90			HQ	-	90.0	-	-	-	-	87.0	3												DONE	2025-08-06	2025-10-20	Thanh Hóa			
mtDNA_181	2025-08-05	90			H	-	90.0	-	-	-	-	89.0	1												DONE	2025-08-07	2025-10-20	Thanh Hóa			
mtDNA_182	2025-08-06	91			T	-	91.0	-	-	-	-	90.0	1												DONE	2025-08-07	2025-10-20	Thanh Hóa			
